"Link","Classe","Número","Ano.de.autuação","Relator.Atual","Data","Andamento","Observação.Andamento","Ramo.do.direito","Assuntos","fator_m_aurelio","unanimidade"
"Rcl-8853","Rcl",8853,2009,"MIN. CÁRMEN LÚCIA","18/3/2015","Improcedente","Decisão: O Tribunal, por maioria, julgou improcedente a reclamação, vencida a Ministra Cármen Lúcia (Relatora) e parcialmente vencido o Ministro Ayres Britto. O Tribunal rejeitou a proposta do Ministro Marco Aurélio, no que foi acompanhado pela Ministra Cármen Lúcia, de conversão do julgamento em diligência. O Ministro Marco Aurélio concedia habeas corpus de ofício. Não votaram, no mérito, os Ministros Roberto Barroso e Rosa Weber por sucederem, respectivamente, aos Ministros Ayres Britto e Ellen Gracie. Por indicação do Ministro Celso de Mello, a Corte decidiu que redigirá o acórdão o Ministro Dias Toffoli. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 18.03.2015.","DIREITO PROCESSUAL PENAL","1 - DIREITO PROCESSUAL PENAL | PRISÃO DOMICILIAR / ESPECIAL","0","0"
"ADI-2615","ADI",2615,2002,"MIN. EROS GRAU","11/3/2015","Procedente","Decisão: Colhidos os votos da Ministra Rosa Weber e do Ministro Celso de Mello, o Tribunal, por maioria, julgou procedente o pedido formulado na ação direta para declarar a inconstitucionalidade da Lei nº 11.908/2001, do Estado de Santa Catarina, vencido o Ministro Ayres Britto. Não votaram os Ministros Roberto Barroso, Teori Zavascki, Luiz Fux e Ricardo Lewandowski, por sucederem, respectivamente, aos Ministros Ayres Britto, Cezar Peluso, Eros Grau (Relator) e Carlos Velloso. Ausentes, neste julgamento, os Ministros Marco Aurélio, Gilmar Mendes e Dias Toffoli, estes dois últimos com votos proferidos em assentada anterior. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 11.03.2015.","DIREITO DO CONSUMIDOR","1 - DIREITO DO CONSUMIDOR | CONTRATOS DE CONSUMO | TELEFONIA | ASSINATURA BÁSICA MENSAL","0","0"
"RE-586224","RE",586224,2008,"MIN. LUIZ FUX","9/3/2015","Julgado mérito de tema com repercussão geral","NA SESSÃO DO PLENÁRIO DE 5.3.2015 (ÀS 14 HS)Decisão: O Tribunal, decidindo o tema 145 da Repercussão Geral, por maioria, vencida a Ministra Rosa Weber, deu provimento ao recurso extraordinário para declarar a inconstitucionalidade da Lei nº 1.952, de 20 de dezembro de 1995, do Município de Paulínia/SP. Por unanimidade, o Tribunal firmou a tese de que o município é competente para legislar sobre o meio ambiente com a União e Estado, no limite do seu interesse local e desde que tal regramento seja harmônico com a disciplina estabelecida pelos demais entes federados (art. 24, inciso VI, c/c 30, incisos I e II, da Constituição Federal). Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 05.03.2015.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | INCONSTITUCIONALIDADE MATERIAL 1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MEIO AMBIENTE","0","0"
"HC-84548","HC",84548,2004,"MIN. MARCO AURÉLIO","4/3/2015","Concedida em parte a ordem","Decisão: O Tribunal, por maioria, concedeu em parte a ordem apenas para revogar o decreto de prisão preventiva, vencidos parcialmente os Ministros Cezar Peluso, Cármen Lúcia e Ayres Britto, que denegavam a ordem, e o Ministro Marco Aurélio (Relator), que a implementava em maior extensão. Não votaram os Ministros Roberto Barroso, Teori Zavascki e Dias Toffoli por sucederem, respectivamente, aos Ministros Ayres Britto, Cezar Peluso e Sepúlveda Pertence. Redigirá o acórdão o Ministro Gilmar Mendes. Ausentes, nesta assentada, os Ministros Gilmar Mendes e Luiz Fux, que proferiram voto em assentadas anteriores. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 04.03.2015.","DIREITO PROCESSUAL PENAL","1 - DIREITO PROCESSUAL PENAL | PRISÃO PREVENTIVA 2 - DIREITO PROCESSUAL PENAL | AÇÃO PENAL | NULIDADE | AUSÊNCIA DE FUNDAMENTAÇÃO","0","0"
"ADI-3477","ADI",3477,2005,"MIN. CEZAR PELUSO","4/3/2015","Procedente em parte","Decisão: O Tribunal, por maioria, julgou parcialmente procedente a ação, dando interpretação conforme para que o parágrafo único do artigo 3º da Lei nº 8.633/2005, do Estado do Rio Grande do Norte, seja interpretado à luz do § 21 do art. 40 da Constituição Federal, vencido o Ministro Cezar Peluso (Relator), que julgava parcialmente procedente a ação nos termos do seu voto. Não votou o Ministro Teori Zavascki por suceder ao Ministro Cezar Peluso (Relator). Redigirá o acórdão o Ministro Luiz Fux. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 04.03.2015.","DIREITO TRIBUTÁRIO","1 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES PREVIDENCIÁRIAS | SERVIDORES INATIVOS 2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | PENSÃO","0","0"
"RE-724347","RE",724347,2012,"MIN. MARCO AURÉLIO","26/2/2015","Julgado mérito de tema com repercussão geral","Decisão: O Tribunal, por maioria, vencidos os Ministros Marco Aurélio (Relator) e Luiz Fux, apreciando a tese 671 da repercussão geral, deu provimento ao recurso extraordinário, assentando-se a tese de que, na hipótese de posse em cargo público determinada por decisão judicial, o servidor não faz jus à indenização sob fundamento de que deveria ter sido investido em momento anterior, salvo situação de arbitrariedade flagrante. Redigirá o acórdão o Ministro Roberto Barroso. Ausente, justificadamente, o Ministro Dias Toffoli, participando do Congresso Internacional ¿Diálogos Judiciales en el Sistema Interamericano de Garantía de los Derechos Humanos¿, realizado em Barcelona, Espanha. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 26.02.2015.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | RESPONSABILIDADE DA ADMINISTRAÇÃO | INDENIZAÇÃO POR DANO MATERIAL 1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PÚBLICO / EDITAL | CLASSIFICAÇÃO E/OU PRETERIÇÃO","0","0"
"ADI-4900","ADI",4900,2013,"MIN. TEORI ZAVASCKI","11/2/2015","Procedente","Decisão: O Tribunal, por maioria, julgou procedente o pedido formulado na ação para declarar a inconstitucionalidade dos artigos 2º e 3º da Lei nº 11.905/2010, do Estado da Bahia, vencido, em parte, o Ministro Teori Zavascki, que apenas conferia interpretação conforme, sem redução de texto, ao art. 2º da referida lei, de forma a excluir de sua incidência os magistrados vinculados ao Tribunal de Justiça. Os Ministros Teori Zavascki (Relator), Dias Toffoli e Marco Aurélio não modularam os efeitos da decisão, não sendo atingido o quorum para este fim. Redigirá o acórdão o Ministro Roberto Barroso. Falou, pelo requerente, o Dr. José Saraiva, OAB/DF 6.242. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 11.02.2015.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | INCONSTITUCIONALIDADE MATERIAL 1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUNERATÓRIO E BENEFÍCIOS | TETO SALARIAL 2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUNERATÓRIO E BENEFÍCIOS | SUBTETO SALARIAL 3 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROCESSO LEGISLATIVO","0","0"
"ADI-4967","ADI",4967,2013,"MIN. LUIZ FUX","5/2/2015","Não conhecido(s)","Decisão: O Tribunal, por maioria e nos termos do voto do Relator, não conheceu da ação direta por falta de legitimidade ativa ad causam, vencido, em parte, o Ministro Marco Aurélio, que reconhecia a legitimidade apenas da Federação Nacional de Entidades de Oficiais Militares Estaduais - FENEME. Ausentes, justificadamente, o Ministro Roberto Barroso e, neste julgamento, o Ministro Gilmar Mendes. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 05.02.2015.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | SISTEMA REMUNERATÓRIO E BENEFÍCIOS","0","0"
"ADI-2072","ADI",2072,1999,"MIN. CÁRMEN LÚCIA","4/2/2015","Procedente em parte","Decisão: O Tribunal, por maioria e nos termos do voto da Relatora, julgou parcialmente procedente a ação direta para declarar a inconstitucionalidade do art. 2º da Lei nº 11.367/1999, do Estado do Rio Grande do Sul; prejudicada a ação quanto aos artigos 3º e 4º e improcedente quanto aos artigos 1º, 5º e 6º, todos da Lei nº 11.367/1999, do Estado do Rio Grande do Sul, vencidos, em parte, os Ministros Marco Aurélio e Luiz Fux, que a julgavam integralmente procedente. Ausentes, justificadamente, os Ministros Celso de Mello e Roberto Barroso. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 04.02.2015.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROCESSO LEGISLATIVO 2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORÇAMENTO","0","0"
"AR-1699","AR",1699,2002,"MIN. MARCO AURÉLIO","18/12/2014","Improcedente","Decisão: O Tribunal, por maioria e nos termos do voto do Ministro Marco Aurélio (Relator), julgou improcedente a ação, vencidos os Ministros Ricardo Lewandowski (Revisor) e Roberto Barroso. Ausentes, justificadamente, os Ministros Gilmar Mendes e Cármen Lúcia. Falou, pelos réus, o Dr. José Carlos Barbosa Neto, OAB/RJ 86.310. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 18.12.2014.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PÚBLICO / EDITAL","0","0"
"RE-591054","RE",591054,2008,"MIN. MARCO AURÉLIO","17/12/2014","Julgado mérito de tema com repercussão geral","Decisão: O Tribunal, decidindo o tema 129 da Repercussão Geral, por maioria e nos termos do voto do Relator, negou provimento ao recurso extraordinário, vencidos os Ministros Ricardo Lewandowski (Presidente), Rosa Weber, Luiz Fux e Cármen Lúcia, firmando-se a tese de que a existência de inquéritos policiais ou de ações penais sem trânsito em julgado não pode ser considerada como maus antecedentes para fins de dosimetria da pena. Ausente, justificadamente, o Ministro Luiz Fux, que proferiu voto em assentada anterior. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 17.12.2014.","DIREITO PENAL","1 - DIREITO PENAL | PARTE GERAL | APLICAÇÃO DA PENA","0","0"
"RvC-5437","RvC",5437,2014,"MIN. TEORI ZAVASCKI","17/12/2014","Procedente em parte","Decisão: O Tribunal, por maioria e nos termos dos votos do Relator e do Revisor, julgou parcialmente procedente a revisão criminal, vencidos, em menor extensão, os Ministros Cármen Lúcia, Gilmar Mendes e Celso de Mello. O Ministro Marco Aurélio, que acompanhou o Relator, assentou a incompetência do Supremo Tribunal Federal para julgar o réu, em face da renúncia, e anulou a dosimetria da pena, também afastando o ressarcimento dos danos com fundamento no art. 387 do Código de Processo Penal. Ausentes, justificadamente, o Ministro Luiz Fux, e, neste julgamento, o Ministro Dias Toffoli. Falou, pelo requerente, o Dr. Antônio Nabor Areias Bulhões, OAB/DF 1465-A. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 17.12.2014.","DIREITO PROCESSUAL PENAL","0 - DIREITO PROCESSUAL PENAL | JURISDIÇÃO E COMPETÊNCIA1 - DIREITO PROCESSUAL PENAL | AÇÃO PENAL | NULIDADE","0","0"
"ADI-3169","ADI",3169,2004,"MIN. MARCO AURÉLIO","11/12/2014","Procedente","Decisão: O Tribunal, por maioria, julgou procedente a ação direta para declarar a inconstitucionalidade da Lei nº 10.877, de 10 de setembro de 2001, do Estado de São Paulo, vencidos os Ministros Marco Aurélio (Relator) e Luiz Fux, que a julgavam improcedente. Redigirá o acórdão o Ministro Roberto Barroso. Ausentes, justificadamente, o Ministro Ricardo Lewandowski (Presidente), em viagem à Itália para participar da ""101ª Sessão Plenária da Comissão de Veneza"", e, neste julgamento, o Ministro Dias Toffoli. Presidiu o julgamento a Ministra Cármen Lúcia (Vice-Presidente). Plenário, 11.12.2014.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO | TRANSPORTE TERRESTRE","0","0"
"AC-2910","AC",2910,2011,"MIN. ROSA WEBER","11/12/2014","Questão de ordem","Decisão: O Tribunal, resolvendo questão de ordem suscitada pela Ministra Cármen Lúcia, declarou a extinção da ação cautelar. Ausente, justificadamente, o Ministro Ricardo Lewandowski (Presidente), em viagem à Itália para participar da ""101ª Sessão Plenária da Comissão de Veneza"", e, neste julgamento, o Ministro Gilmar Mendes. Presidiu o julgamento a Ministra Cármen Lúcia (Vice-Presidente). Plenário, 11.12.2014.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | INTERVENÇÃO DO ESTADO NA PROPRIEDADE | DESAPROPRIAÇÃO POR INTERESSE SOCIAL PARA REFORMA AGRÁRIA 2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | INQUÉRITO / PROCESSO / RECURSO ADMINISTRATIVO 3 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | ATOS PROCESSUAIS | NULIDADE 4 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | FORMAÇÃO, SUSPENSÃO E EXTINÇÃO DO PROCESSO | EXTINÇÃO DO PROCESSO SEM RESOLUÇÃO DE MÉRITO | LEGITIMIDADE PARA A CAUSA","0","0"
